epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2347.05,0.61512,1.03144,0.58871,1.18721,0,0.82557,0.919,0.89984,0.75612,0.83131,0.89806,0.88193,0.77072,0.41789,0.47686,0.40402,1.0491,0,0.000922942,0.000922942,0.000922942
29,2430.28,0.58388,1.05339,0.56402,1.17198,0,0.89692,0.89806,0.91424,0.77024,0.89207,0.8932,0.90188,0.78224,0.43837,0.52082,0.37039,1.07303,0,0.000917296,0.000917296,0.000917296
30,2513.86,0.58392,1.06462,0.5664,1.16614,0,0.90643,0.89353,0.91474,0.79102,0.90955,0.86893,0.89964,0.7802,0.42546,0.53308,0.62122,1.05968,0,0.000911469,0.000911469,0.000911469
31,2598.54,0.59013,1.05074,0.57525,1.17011,0,0.90957,0.89806,0.93299,0.80165,0.89803,0.88835,0.92778,0.8017,0.4439,0.54087,0.36354,1.06934,0,0.000905463,0.000905463,0.000905463
32,2679.63,0.59431,1.02473,0.58645,1.16577,0,0.93327,0.89806,0.93998,0.80895,0.91856,0.8835,0.9258,0.82989,0.45833,0.4793,0.36084,1.09728,0,0.000899282,0.000899282,0.000899282
33,2764.53,0.5909,1.05525,0.56547,1.16561,0,0.91137,0.8835,0.93454,0.77986,0.89634,0.86893,0.91562,0.80025,0.49182,0.47961,0.45415,1.15545,0,0.000892928,0.000892928,0.000892928
34,2849.47,0.58616,1.0607,0.58429,1.16089,0,0.93352,0.88616,0.94048,0.79782,0.91269,0.86267,0.92538,0.81711,0.4345,0.50853,0.33271,1.03782,0,0.000886404,0.000886404,0.000886404
35,2933.4,0.57801,1.03421,0.56757,1.16186,0,0.90887,0.87149,0.9239,0.77438,0.89862,0.86059,0.90871,0.7936,0.43871,0.54459,0.42338,1.06359,0,0.000879713,0.000879713,0.000879713
36,3015.8,0.57193,0.98708,0.54096,1.15212,0,0.96455,0.79247,0.89666,0.77116,0.96571,0.79126,0.89265,0.80498,0.44638,0.46079,0.38844,1.11023,0,0.000872857,0.000872857,0.000872857
37,3099.29,0.56773,1.02082,0.53862,1.1454,0,0.89692,0.87864,0.9339,0.79448,0.90933,0.84951,0.91795,0.82103,0.42482,0.46901,0.37895,1.06279,0,0.000865839,0.000865839,0.000865839
38,3183.77,0.561,1.01036,0.53481,1.16025,0,0.94899,0.82524,0.92508,0.80745,0.9431,0.82039,0.91279,0.82101,0.38387,0.45039,0.32486,0.97991,0,0.000858664,0.000858664,0.000858664
39,3267.22,0.58679,1.00946,0.56763,1.16175,0,0.93886,0.83495,0.92413,0.81409,0.87221,0.88835,0.91776,0.82534,0.3886,0.478,0.5212,0.97689,0,0.000851333,0.000851333,0.000851333
40,3352.3,0.57079,0.99604,0.53011,1.15765,0,0.88656,0.91262,0.93075,0.78859,0.92657,0.84466,0.90163,0.80146,0.43524,0.4836,0.40718,1.06043,0,0.000843851,0.000843851,0.000843851
41,3434.76,0.56098,1.08474,0.52939,1.14675,0,0.88689,0.88835,0.9304,0.81458,0.87038,0.87864,0.90616,0.80545,0.40494,0.52203,0.36489,1.01432,0,0.00083622,0.00083622,0.00083622
42,3517.68,0.5615,0.9905,0.52086,1.14542,0,0.97136,0.82325,0.93791,0.81454,0.96564,0.81853,0.91989,0.81901,0.38363,0.49846,0.35606,0.97739,0,0.000828443,0.000828443,0.000828443
43,3601.79,0.56951,0.99844,0.52475,1.15579,0,0.94344,0.83981,0.92319,0.78394,0.93253,0.8301,0.90909,0.80677,0.44211,0.4684,0.45341,1.0807,0,0.000820525,0.000820525,0.000820525
44,3686.17,0.56319,0.99274,0.53443,1.13843,0,0.93691,0.84951,0.94005,0.79462,0.88282,0.88835,0.92867,0.81786,0.4489,0.46988,0.33635,1.07535,0,0.000812468,0.000812468,0.000812468
45,3768.25,0.54394,0.98868,0.5107,1.14201,0,0.95634,0.8301,0.93551,0.80879,0.97126,0.82037,0.92107,0.83066,0.41015,0.46539,0.36024,1.05308,0,0.000804277,0.000804277,0.000804277
46,3853.73,0.54546,0.98543,0.51415,1.14019,0,0.89019,0.8264,0.90762,0.78921,0.90844,0.81879,0.89961,0.80671,0.37689,0.44488,0.47424,0.97439,0,0.000795954,0.000795954,0.000795954
47,3936.03,0.5422,0.97851,0.51267,1.13767,0,0.89247,0.88634,0.93265,0.82235,0.88269,0.87663,0.91254,0.81493,0.39303,0.49772,0.33144,0.99578,0,0.000787503,0.000787503,0.000787503
48,4019.44,0.55718,0.99277,0.51596,1.14079,0,0.91504,0.86408,0.93127,0.8153,0.92976,0.83538,0.91708,0.81816,0.3714,0.48045,0.32506,0.96918,0,0.000778929,0.000778929,0.000778929
49,4101.39,0.54065,0.94773,0.49814,1.14136,0,0.88934,0.90777,0.93491,0.82139,0.91492,0.84951,0.92088,0.83613,0.37406,0.4575,0.32507,0.99322,0,0.000770234,0.000770234,0.000770234
