epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3726.23,0.63161,1.07621,0.628,1.20601,0,0.89587,0.87706,0.92823,0.78766,0.88601,0.86785,0.91095,0.80193,0.44965,0.52211,0.43992,1.09554,0,0.000922942,0.000922942,0.000922942
29,3859.49,0.59091,1.06576,0.58664,1.18738,0,0.89678,0.88569,0.91545,0.74294,0.88204,0.87113,0.88485,0.75179,0.47971,0.56076,0.44082,1.1249,0,0.000917296,0.000917296,0.000917296
30,3991.75,0.60022,1.09323,0.6011,1.18724,0,0.94941,0.81991,0.89414,0.76078,0.93819,0.81052,0.87997,0.77042,0.48666,0.50324,0.79309,1.12604,0,0.000911469,0.000911469,0.000911469
31,4122.65,0.60706,1.07249,0.59899,1.18471,0,0.88307,0.87379,0.90903,0.74848,0.87326,0.86408,0.88672,0.75369,0.46852,0.55632,0.75939,1.11448,0,0.000905463,0.000905463,0.000905463
32,4254.44,0.59679,1.06921,0.59754,1.17758,0,0.9277,0.85922,0.94497,0.7842,0.92246,0.85437,0.92045,0.80029,0.45391,0.49513,0.40624,1.0864,0,0.000899282,0.000899282,0.000899282
33,4385.82,0.59431,1.09756,0.57462,1.17006,0,0.89468,0.87379,0.91548,0.76286,0.88474,0.86408,0.89995,0.77298,0.54341,0.51249,0.43871,1.29154,0,0.000892928,0.000892928,0.000892928
34,4516.95,0.587,1.09499,0.59226,1.1694,0,0.94545,0.86408,0.93166,0.79891,0.93144,0.85437,0.90819,0.79762,0.4158,0.49084,0.37783,1.05404,0,0.000886404,0.000886404,0.000886404
35,4649.03,0.58956,1.07238,0.57657,1.171,0,0.88993,0.85437,0.92632,0.78942,0.9138,0.82343,0.90665,0.78779,0.42204,0.52794,0.36434,1.02864,0,0.000879713,0.000879713,0.000879713
36,4779.64,0.58494,1.01855,0.55417,1.16489,0,0.90401,0.85437,0.90986,0.75804,0.92014,0.82039,0.89362,0.79315,0.46303,0.48678,0.59012,1.11974,0,0.000872857,0.000872857,0.000872857
37,4911.33,0.57145,1.06081,0.54491,1.15811,0,0.90141,0.86408,0.91917,0.78475,0.88598,0.84951,0.9001,0.80179,0.41722,0.49952,0.42033,1.04239,0,0.000865839,0.000865839,0.000865839
38,5043.13,0.57926,1.03091,0.55816,1.17997,0,0.89494,0.85922,0.90986,0.72608,0.87977,0.84466,0.88127,0.75378,0.5075,0.4913,0.5272,1.16514,0,0.000858664,0.000858664,0.000858664
39,5174.75,0.59686,1.05648,0.61399,1.18107,0,0.9516,0.85902,0.92763,0.7825,0.94085,0.84931,0.9041,0.79096,0.45944,0.50199,0.47838,1.09339,0,0.000851333,0.000851333,0.000851333
40,5305.65,0.57444,1.01625,0.55243,1.1641,0,0.872,0.85437,0.89776,0.76709,0.8436,0.86406,0.88329,0.76608,0.42408,0.48279,0.47763,1.03777,0,0.000843851,0.000843851,0.000843851
41,5438.14,0.56063,1.11053,0.55853,1.15121,0,0.95644,0.82039,0.92936,0.80981,0.95078,0.81553,0.91473,0.81765,0.4288,0.51768,0.36871,1.04816,0,0.00083622,0.00083622,0.00083622
42,5571.85,0.5708,1.01911,0.54985,1.15463,0,0.87794,0.91262,0.91741,0.79266,0.86575,0.87656,0.88997,0.78037,0.41154,0.49942,0.3518,1.0207,0,0.000828443,0.000828443,0.000828443
43,5703.91,0.56856,1.03147,0.54203,1.16116,0,0.83352,0.91748,0.86797,0.74382,0.82007,0.90291,0.84154,0.73342,0.41065,0.46758,0.39616,1.04875,0,0.000820525,0.000820525,0.000820525
44,5836.38,0.56162,1.00302,0.55777,1.14164,0,0.91942,0.88627,0.94037,0.77528,0.90926,0.87558,0.92072,0.78612,0.50122,0.51645,0.37154,1.12219,0,0.000812468,0.000812468,0.000812468
45,5967.72,0.55135,1.01227,0.53092,1.1529,0,0.9067,0.86408,0.93085,0.81026,0.90734,0.85568,0.91008,0.802,0.39971,0.51975,0.35155,0.99259,0,0.000804277,0.000804277,0.000804277
46,6098.7,0.5549,1.01614,0.54679,1.15156,0,0.90865,0.86916,0.92776,0.7915,0.91739,0.83495,0.89943,0.79157,0.43317,0.4978,0.35457,1.03277,0,0.000795954,0.000795954,0.000795954
47,6231.1,0.54803,1.01931,0.5375,1.14594,0,0.86536,0.90483,0.90649,0.785,0.86245,0.8835,0.87855,0.76037,0.37846,0.51489,0.36521,0.99496,0,0.000787503,0.000787503,0.000787503
48,6363.16,0.55382,1.01659,0.53305,1.14578,0,0.91329,0.86916,0.91476,0.79133,0.90819,0.86431,0.90147,0.80343,0.40579,0.46641,0.3769,1.01254,0,0.000778929,0.000778929,0.000778929
49,6494.72,0.55041,0.98021,0.5198,1.14947,0,0.94552,0.84244,0.91277,0.78188,0.94007,0.83758,0.89693,0.79141,0.41367,0.46541,0.63657,1.01649,0,0.000770234,0.000770234,0.000770234
50,6625.54,0.53741,0.99247,0.52258,1.14289,0,0.88624,0.90291,0.93235,0.79697,0.87671,0.8932,0.90921,0.80365,0.39874,0.46293,0.35827,1.00836,0,0.000761423,0.000761423,0.000761423
51,6757.45,0.54257,1.00513,0.52006,1.13954,0,0.9013,0.93204,0.94213,0.82803,0.88942,0.91748,0.92039,0.8203,0.37802,0.45394,0.33002,0.98255,0,0.0007525,0.0007525,0.0007525
52,6894.68,0.5288,0.99427,0.51465,1.13237,0,0.89916,0.91262,0.94045,0.80647,0.89379,0.90777,0.9261,0.8261,0.39845,0.46177,0.32124,1.01297,0,0.000743468,0.000743468,0.000743468
53,7026.69,0.54752,0.99398,0.51117,1.15183,0,0.94262,0.87728,0.93654,0.79494,0.93219,0.86757,0.91716,0.79749,0.39612,0.50199,0.35327,0.98964,0,0.000734332,0.000734332,0.000734332
54,7159.07,0.52835,0.95214,0.48042,1.13426,0,0.94111,0.85328,0.93289,0.81628,0.93988,0.8348,0.92198,0.82639,0.41654,0.45877,0.33969,1.04925,0,0.000725094,0.000725094,0.000725094
55,7289.91,0.53849,0.98082,0.51109,1.13788,0,0.93967,0.83174,0.93601,0.81733,0.87405,0.87864,0.91466,0.80511,0.37632,0.51863,0.31898,0.96094,0,0.000715761,0.000715761,0.000715761
56,7420.32,0.52311,0.92474,0.50214,1.12805,0,0.90824,0.87379,0.93052,0.80512,0.90319,0.86893,0.91662,0.82517,0.41015,0.45556,0.35276,1.00695,0,0.000706335,0.000706335,0.000706335
57,7551.46,0.53299,0.98048,0.51049,1.13307,0,0.89251,0.88674,0.93614,0.81632,0.9273,0.83981,0.91954,0.81752,0.40648,0.46803,0.32135,1.00533,0,0.00069682,0.00069682,0.00069682
58,7683.76,0.53391,0.96571,0.493,1.13698,0,0.93223,0.8835,0.93635,0.82244,0.91784,0.86893,0.91837,0.81532,0.39181,0.47981,0.33908,0.99543,0,0.000687222,0.000687222,0.000687222
59,7815.39,0.52346,0.94865,0.48415,1.12833,0,0.92044,0.89855,0.94695,0.82472,0.91049,0.88884,0.93001,0.83425,0.38057,0.43945,0.31972,0.96715,0,0.000677543,0.000677543,0.000677543
60,7949.55,0.52709,0.93852,0.48613,1.13155,0,0.94854,0.8835,0.93932,0.8207,0.93135,0.8835,0.92572,0.82447,0.37354,0.44495,0.32115,0.96543,0,0.000667789,0.000667789,0.000667789
61,8082.18,0.51276,0.88679,0.46561,1.11803,0,0.9212,0.85125,0.93179,0.81101,0.91075,0.84209,0.91186,0.81952,0.38627,0.45359,0.38699,0.98192,0,0.000657963,0.000657963,0.000657963
62,8214.91,0.52329,0.94305,0.48231,1.12238,0,0.94994,0.84951,0.94109,0.82599,0.95028,0.83495,0.92348,0.82909,0.3733,0.4556,0.30755,0.98559,0,0.000648071,0.000648071,0.000648071
63,8347.84,0.5294,0.98884,0.48239,1.12121,0,0.95421,0.86408,0.94331,0.82987,0.94299,0.85437,0.92538,0.83503,0.35263,0.4438,0.29993,0.93899,0,0.000638115,0.000638115,0.000638115
64,8485.48,0.50358,0.89545,0.46836,1.10455,0,0.91126,0.89725,0.93904,0.81765,0.9014,0.88754,0.91732,0.83347,0.37776,0.43914,0.43056,0.97121,0,0.000628101,0.000628101,0.000628101
65,8623.39,0.51911,0.90961,0.47852,1.12127,0,0.88037,0.90777,0.93902,0.83406,0.86831,0.89806,0.92541,0.83423,0.35647,0.45246,0.31426,0.95502,0,0.000618034,0.000618034,0.000618034
66,8761.73,0.51422,0.98808,0.48931,1.10845,0,0.90169,0.89049,0.92332,0.80906,0.89189,0.88104,0.9057,0.80106,0.349,0.47091,0.37881,0.93957,0,0.000607916,0.000607916,0.000607916
67,8897.08,0.5023,0.93991,0.45752,1.11456,0,0.892,0.88835,0.92628,0.81429,0.88017,0.89143,0.90946,0.81097,0.3512,0.44083,0.33311,0.9473,0,0.000597754,0.000597754,0.000597754
68,9030.49,0.49935,0.89497,0.45372,1.11031,0,0.89552,0.87376,0.92727,0.81945,0.87757,0.86893,0.90607,0.82645,0.34963,0.45072,0.31322,0.94289,0,0.000587551,0.000587551,0.000587551
69,9165.95,0.51971,0.90701,0.46778,1.12241,0,0.9321,0.86408,0.93482,0.84762,0.9278,0.85922,0.92319,0.82676,0.33715,0.44618,0.29909,0.92985,0,0.000577311,0.000577311,0.000577311
70,9312.01,0.50764,0.89548,0.46933,1.11527,0,0.91611,0.90291,0.93693,0.83215,0.90626,0.8932,0.91661,0.81839,0.34216,0.46513,0.28596,0.92148,0,0.00056704,0.00056704,0.00056704
71,9448.45,0.51472,0.96449,0.4647,1.12627,0,0.90947,0.90291,0.94003,0.83641,0.89961,0.8932,0.92462,0.83631,0.33815,0.44122,0.34469,0.92087,0,0.000556742,0.000556742,0.000556742
72,9583.69,0.47619,0.85242,0.44896,1.09522,0,0.90407,0.8932,0.9379,0.82828,0.89377,0.8835,0.92247,0.83797,0.36787,0.44416,0.30438,0.95932,0,0.000546421,0.000546421,0.000546421
73,9720.02,0.4713,0.86922,0.43521,1.08564,0,0.8619,0.90892,0.92839,0.83288,0.85742,0.90493,0.91645,0.83226,0.34511,0.44885,0.30266,0.93385,0,0.000536081,0.000536081,0.000536081
74,9855.42,0.49055,0.88544,0.45629,1.09628,0,0.9309,0.86408,0.93616,0.84189,0.92044,0.85437,0.9169,0.83645,0.35587,0.43369,0.28601,0.95296,0,0.000525728,0.000525728,0.000525728
75,9992.03,0.48237,0.86514,0.44327,1.0985,0,0.92341,0.87786,0.93643,0.83823,0.91319,0.86815,0.91821,0.83252,0.33103,0.4424,0.3143,0.93292,0,0.000515366,0.000515366,0.000515366
76,10124.1,0.47693,0.84912,0.43684,1.09423,0,0.8729,0.93204,0.9378,0.8357,0.85927,0.91748,0.9172,0.8333,0.34215,0.45044,0.31285,0.93275,0,0.000505,0.000505,0.000505
77,10258,0.50496,0.9054,0.45384,1.11257,0,0.93355,0.86893,0.93051,0.82174,0.92834,0.86408,0.91593,0.83562,0.36163,0.45708,0.33405,0.97063,0,0.000494634,0.000494634,0.000494634
78,10392.9,0.47945,0.85716,0.4345,1.09829,0,0.92334,0.87704,0.93616,0.83933,0.91312,0.86734,0.91929,0.84214,0.32028,0.44877,0.28364,0.90995,0,0.000484272,0.000484272,0.000484272
79,10534.8,0.48335,0.90269,0.44769,1.10261,0,0.94262,0.84951,0.93025,0.8358,0.93723,0.84466,0.91993,0.83667,0.32858,0.45732,0.32582,0.93308,0,0.000473919,0.000473919,0.000473919
80,10672.8,0.48239,0.92838,0.45673,1.10018,0,0.90679,0.8835,0.92255,0.80532,0.90537,0.8824,0.90797,0.8211,0.34966,0.44089,0.34121,0.94653,0,0.000463579,0.000463579,0.000463579
81,10809.3,0.48475,0.89039,0.46696,1.10657,0,0.89746,0.89219,0.93388,0.83394,0.91741,0.83981,0.91867,0.83417,0.348,0.46829,0.34186,0.95574,0,0.000453258,0.000453258,0.000453258
82,10944.8,0.46823,0.84651,0.41769,1.09057,0,0.97714,0.82998,0.9347,0.83425,0.96571,0.82027,0.91978,0.83647,0.33858,0.45956,0.33188,0.94144,0,0.00044296,0.00044296,0.00044296
83,11081.7,0.47727,0.84005,0.43622,1.09386,0,0.90091,0.9268,0.93453,0.83283,0.88675,0.91223,0.91281,0.84033,0.3412,0.43888,0.36031,0.93262,0,0.000432689,0.000432689,0.000432689
