epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1869.56,1.21413,1.86881,0.83976,1.06635,0,0.5886,0.55233,0.5592,0.24582,0.6042,0.48354,0.51395,0.19554,1.92252,3.10234,1.31249,1.32516,0,0.000922942,0.000922942,0.000922942
29,1932.69,1.20148,1.83132,0.82826,1.06205,0,0.58903,0.53196,0.54175,0.25201,0.58074,0.51711,0.51605,0.20882,1.83038,2.854,1.2937,1.29413,0,0.000917296,0.000917296,0.000917296
30,1995.95,1.19707,1.82291,0.83749,1.0541,0,0.56062,0.51399,0.51389,0.23906,0.55031,0.47708,0.4817,0.19199,1.87955,2.93694,1.39075,1.33974,0,0.000911469,0.000911469,0.000911469
31,2059.16,1.1975,1.80941,0.81087,1.04597,0,0.5836,0.52034,0.51975,0.23375,0.59236,0.49063,0.51386,0.2093,1.92855,2.98034,1.3721,1.34872,0,0.000905463,0.000905463,0.000905463
32,2123.61,1.20195,1.83722,0.8154,1.04719,0,0.58147,0.51969,0.51535,0.23367,0.5866,0.47515,0.47897,0.1844,1.88083,2.97521,1.35076,1.31307,0,0.000899282,0.000899282,0.000899282
33,2186.38,1.17035,1.77864,0.77801,1.04233,0,0.58631,0.49258,0.50209,0.2291,0.57582,0.46974,0.47356,0.18673,1.92222,3.06941,1.36155,1.34061,0,0.000892928,0.000892928,0.000892928
34,2249.89,1.18231,1.8122,0.79463,1.04472,0,0.60614,0.54616,0.54711,0.25401,0.58507,0.53648,0.52007,0.20326,1.84825,3.04528,1.30778,1.30159,0,0.000886404,0.000886404,0.000886404
35,2313.24,1.14576,1.76405,0.76699,1.03408,0,0.55524,0.5432,0.52926,0.2427,0.53228,0.53325,0.50514,0.20253,1.89095,2.89847,1.32059,1.33433,0,0.000879713,0.000879713,0.000879713
36,2377.34,1.16442,1.78237,0.78668,1.0402,0,0.56205,0.51259,0.47628,0.21348,0.54907,0.49645,0.45135,0.16876,1.93879,3.1622,1.41413,1.35552,0,0.000872857,0.000872857,0.000872857
37,2440.98,1.15796,1.76767,0.77099,1.03186,0,0.61454,0.53066,0.53223,0.25256,0.59405,0.49903,0.49933,0.20468,1.9018,3.07185,1.31871,1.31545,0,0.000865839,0.000865839,0.000865839
38,2503.76,1.14718,1.76938,0.77013,1.02913,0,0.62526,0.51704,0.54719,0.25367,0.61051,0.50484,0.52188,0.2089,1.90499,2.93214,1.27837,1.31398,0,0.000858664,0.000858664,0.000858664
39,2567.39,1.13812,1.73829,0.75581,1.02884,0,0.5749,0.49939,0.48973,0.23172,0.58123,0.4731,0.46953,0.18745,1.85179,2.9597,1.41915,1.30686,0,0.000851333,0.000851333,0.000851333
40,2631.87,1.14222,1.73819,0.74054,1.02401,0,0.54207,0.54099,0.5054,0.23542,0.50594,0.53648,0.47751,0.18762,1.87991,3.00806,1.38406,1.3189,0,0.000843851,0.000843851,0.000843851
41,2696.62,1.14527,1.76287,0.74863,1.0227,0,0.58087,0.52098,0.50372,0.23109,0.56997,0.48031,0.46333,0.1738,1.89968,3.04357,1.33876,1.31403,0,0.00083622,0.00083622,0.00083622
42,2759.49,1.13007,1.73724,0.74662,1.02317,0,0.61581,0.49968,0.54194,0.24852,0.63905,0.48348,0.5286,0.21065,1.89511,2.98902,1.31009,1.34136,0,0.000828443,0.000828443,0.000828443
43,2822.14,1.1209,1.69404,0.72448,1.01551,0,0.59575,0.53583,0.5226,0.24281,0.58901,0.49313,0.49448,0.19389,1.89739,3.07567,1.33716,1.3337,0,0.000820525,0.000820525,0.000820525
44,2884.87,1.12734,1.72926,0.72582,1.01451,0,0.5999,0.53777,0.53729,0.24399,0.58544,0.48957,0.49427,0.18883,1.8865,3.1235,1.32876,1.33118,0,0.000812468,0.000812468,0.000812468
45,2947.21,1.12082,1.70246,0.71603,1.0176,0,0.56652,0.52478,0.52079,0.23609,0.58039,0.4887,0.49766,0.18912,1.93391,3.18477,1.33667,1.33586,0,0.000804277,0.000804277,0.000804277
